7438
80	122	148	266	
72	106	154	290	
86	82	270	194	
74	98	148	322	
76	74	170	338	
104	154	174	178	
72	142	122	298	
48	110	294	226	
64	126	122	338	
90	214	88	322	
82	86	150	330	
80	86	168	306	
32	142	284	330	
32	134	276	338	
48	166	126	346	
68	138	162	234	
54	98	294	218	
82	126	146	258	
50	122	174	290	
52	122	302	186	
38	198	302	210	
84	162	136	226	
78	106	174	250	
86	142	138	242	
74	90	162	298	
58	102	174	314	
48	154	172	282	
50	82	230	338	
36	154	286	258	
56	78	244	322	
88	106	138	306	
76	86	228	218	
84	154	154	210	
62	122	150	290	
74	130	250	154	
50	138	184	274	
72	154	186	194	
80	138	206	170	
70	102	202	234	
34	142	276	282	
72	146	132	266	
36	130	290	290	
36	134	260	290	
82	174	140	210	
82	86	180	282	
48	90	246	330	
68	114	152	298	
82	122	168	226	
84	186	214	138	
74	66	314	266	
70	94	216	218	
74	82	238	226	
66	102	232	210	
58	74	226	338	
78	70	256	250	
56	98	214	282	
54	198	162	250	
64	106	210	226	
70	110	166	266	
70	114	186	218	
76	154	192	178	
92	186	176	162	
46	202	290	170	
80	102	142	322	
94	206	82	362	
84	154	182	170	
86	106	210	202	
40	174	252	234	
56	150	120	322	
58	94	256	234	
62	218	112	274	
42	170	248	234	
76	122	150	266	
38	198	248	242	
62	190	124	274	
36	194	278	234	
108	150	238	122	
48	126	236	250	
60	218	282	130	
72	86	222	234	
88	202	184	162	
50	106	310	210	
80	142	196	178	
80	118	194	202	
80	70	248	250	
72	106	214	202	
58	158	112	346	
46	202	354	146	
76	70	242	266	
58	210	148	250	
72	186	172	194	
52	106	308	202	
76	194	168	194	
76	178	204	162	
44	166	152	330	
52	142	190	242	
74	178	294	106	
88	106	180	226	
84	94	148	314	
86	190	118	226	
56	154	304	146	
88	98	134	330	
60	142	158	258	
88	114	142	274	
98	118	146	258	
84	170	276	114	
80	190	276	106	
42	202	362	154	
76	190	296	98	
58	122	188	258	
68	106	154	298	
56	86	196	322	
80	170	308	98	
68	90	164	330	
58	82	198	338	
44	170	246	218	
56	74	294	314	
62	174	278	138	
